Song,Artists,Release Date,Popularity
Dil To Bachcha Hai,['Rahat Fateh Ali Khan'],2009-12-31,41
Ab Mujhe Koi,['Rekha Bhardwaj'],2009-12-31,24
Badi Dheere Jali,['Rekha Bhardwaj'],2009-12-31,22
Ibn - E - Batuta,"['Sukhwinder Singh', 'Mika Singh']",2009-12-31,24
Aaja Aaja Mera Ranjhna,"['Swananda', 'Anushka Manchanda']",2009-12-14,20
Rang Diya Dil,['Shreya Ghoshal'],2009-12-14,11
Rang Diya Dil (Sad Version),['Shreya Ghoshal'],2009-12-14,9
Shiri Farhad (Bonus Song),"['Neeraj Shridhar', 'Tulsi Kumar']",2009-12-14,8
Pe..Pe..Pepein ..,"['Neeraj Shridhar', 'Saleem Shahzada']",2009-12-14,14
Tere Naina,"['Shankar-Ehsaan-Loy', 'Shafqat Amanat Ali']",2010-01-05,51
Sajdaa,"['Shankar-Ehsaan-Loy', 'Rahat Fateh Ali Khan', 'Shankar Mahadevan', 'Richa Sharma']",2010-01-05,55
Hey Ya !,"['Clinton Cerejo', 'Shankar Mahadevan', 'Loy Mendonsa']",2010-01-18,47
Uff Teri Adaa,"['Shankar Mahadevan', 'Alyssa Mendonsa']",2010-01-18,57
Oh Girl You're Mine .,"['Tarun Sagar', 'Alyssa Mendonsa', 'Loy Mendonsa']",2010-03-17,37
Papa Jag Jayega,"['Ritu Pathak', 'Neeraj Shridhar', 'Alyssa Mendonsa']",2010-03-17,31
Aapka Kya Hoga (Dhanno),"['Mika Singh', 'Sunidhi Chauhan', 'Sajid Khan']",2010-03-17,39
I Don't Know What To Do,"['Shabbir Kumar', 'Sunidhi Chauhan']",2010-03-17,28
Fakeera,['Rahat Fateh Ali Khan'],2010-09-04,22
Bhangra Chic,['Kidd Skilly'],2010-10-04,2
Disco Bhangra,['Bally Sagoo'],2010-10-04,0
Stayin' Alive Desified,['Bally Sagoo'],2010-10-04,1
Mora Piya,"['Aadesh Shrivastava', 'Shashi', 'Rosalie Nicholson']",2010-05-12,38
Ishq Barse,"['Shantanu Moitra', 'Hamsika Iyer', 'Pronob Biswas', 'Swanand Kirkire']",2010-05-12,24
Behene De,['Karthik'],2010-04-24,32
Ranjha Ranjha,"['Rekha Bhardwaj', 'Javed Ali']",2010-04-24,34
Thok De Killi,"['Sukhwinder Singh', ""Am'nico""]",2010-04-24,17
Bahara,"['Vishal-Shekhar', 'Shreya Ghoshal', 'Sona Mohapatra']",2010-05-25,53
Bin Tere,"['Vishal-Shekhar', 'Shafqat Amanat Ali', 'Sunidhi Chauhan']",2010-05-25,54
Aazaadiyan (Pairon Ki Bediyan),"['Amit Trivedi', 'Neuman Pinto', ""Nikhil D'Souza"", 'Amitabh Bhattacharya']",2010-06-29,47
Suno Aisha,"['Amit Trivedi', 'Nakash Aziz', 'Ash King']",2010-07-05,40
Gal Mitthi Mitthi,"['Amit Trivedi', 'Tochi Raina']",2010-07-05,50
Parda,"['Sunidhi Chauhan', 'Rana Mazumder']",2010-06-29,31
Aankhon Mein Neendein,"['Shankar-Ehsaan-Loy', 'Rahat Fateh Ali Khan', 'Shreya Ghoshal', 'Shankar Mahadevan']",2010-08-05,35
Dil Khol Ke Let's Rock,"['Shankar-Ehsaan-Loy', 'Anushka Manchanda', 'Akriti Kakkar', 'Suraj Jagan']",2010-08-05,17
Munni Badnaam,"['Mamta Sharma', 'Aishwarya']",2010-08-04,43
Tere Mast Mast Do Nain,['Rahat Fateh Ali Khan'],2010-08-04,38
Anjaana Anjaani Ki Kahani,"[""Nikhil D'Souza"", 'Monali Thakur']",2010-08-19,38
Hairat,['Lucky Ali'],2010-08-19,47
Tujhe Bhula Diya,"['Mohit Chauhan', 'Shekhar Ravjiani', 'Shruti Pathak']",2010-08-19,59
Anjaana Anjaani,"['Vishal Dadlani', 'Shilpa Rao']",2010-08-19,39
Aas Paas Khuda (Unplugged),"['Rahat Fateh Ali Khan', 'Shruti Pathak']",2010-08-19,54
Isak Se Meetha,"['Kalpana Patowary', 'Ajay Jhingaran']",2010-09-18,8
Desi Kali,"['Neeraj Shridhar', 'Sunidhi Chauhan']",2010-10-09,15
Zor Ka Jhatka,"['Daler Mehndi', 'Richa Sharma']",2010-10-07,38
O Bekhabar,['Shreya Ghoshal'],2010-10-07,35
Chhan Ke Mohalla,"['Sunidhi Chauhan', 'Ritu Pathak']",2010-10-07,32
Luk Chup Jaana,"['Tulsi Kumar', 'KK']",2010-10-07,20
Guzaarish,"['KK', 'Shail Hada']",2010-10-16,21
Udi,"['Sunidhi Chauhan', 'Shail Hada']",2010-10-16,33
Ainvayi Ainvayi,"['Salim Merchant', 'Sunidhi Chauhan']",2010-03-11,46
Aadha Ishq,"['Shreya Ghoshal', 'Natalie Diluccio']",2010-03-11,38
Dum Dum,"['Benny Dayal', 'Himani Kapoor']",2010-03-11,39
Baari Barsi,"['Harshdeep Kaur', 'Labh Janjua', 'Salim Merchant']",2010-03-11,38
Shakira,"['Master Saleem', 'Kalpana', 'Hard Kaur', 'Pritam']",2010-11-17,7
Mast Punjabi,"['Anand Raj Anand', 'Sunidhi Chauhan']",2010-11-17,13
Sheila Ki Jawani,"['Sunidhi Chauhan', 'Vishal Dadlani']",2010-11-15,50
Zindagi Do Pal Ki,['KK'],2010-03-29,45
Naach,"['Sukhvindar Singh', 'Hema Sardesai']",2000-08-11,0
