Song,Artists,Release Date,Popularity
God's Plan,['Drake'],2018-06-29,85
Perfect,['Ed Sheeran'],2017-03-03,86
Meant to Be (feat. Florida Georgia Line),"['Bebe Rexha', 'Florida Georgia Line']",2017-08-11,80
Havana (feat. Young Thug),"['Camila Cabello', 'Young Thug']",2018-01-12,83
rockstar (feat. 21 Savage),"['Post Malone', '21 Savage']",2018-04-27,88
Psycho (feat. Ty Dolla $ign),"['Post Malone', 'Ty Dolla $ign']",2018-04-27,82
I Like It,"['Cardi B', 'Bad Bunny', 'J Balvin']",2018-04-06,82
The Middle,"['Zedd', 'Maren Morris', 'Grey']",2018-01-23,83
In My Feelings,['Drake'],2018-06-29,82
Girls Like You (feat. Cardi B),"['Maroon 5', 'Cardi B']",2018-05-30,79
Nice For What,['Drake'],2018-06-29,80
Lucid Dreams,['Juice WRLD'],2018-05-23,17
Better Now,['Post Malone'],2018-04-27,85
Finesse - Remix; feat. Cardi B,"['Bruno Mars', 'Cardi B']",2017-12-20,76
Boo'd Up,['Ella Mai'],2017-02-22,73
New Rules,['Dua Lipa'],2017-06-02,55
SAD!,['XXXTENTACION'],2018-03-16,87
Never Be the Same,['Camila Cabello'],2018-01-12,74
Love Lies (with Normani),"['Khalid', 'Normani']",2018-02-14,78
no tears left to cry,['Ariana Grande'],2018-08-17,82
Mine,['Bazzi'],2018-04-12,81
Thunder,['Imagine Dragons'],2017-06-23,85
Look Alive (feat. Drake),"['BlocBoy JB', 'Drake']",2018-02-09,78
Delicate,['Taylor Swift'],2017-11-10,75
Yes Indeed,"['Lil Baby', 'Drake']",2018-05-18,80
FRIENDS,"['Marshmello', 'Anne-Marie']",2018-02-09,83
Bad At Love,['Halsey'],2017-06-02,76
Taste (feat. Offset),"['Tyga', 'Offset']",2018-05-16,80
Let You Down,['NF'],2017-10-06,83
No Limit,"['G-Eazy', 'A$AP Rocky', 'Cardi B']",2017-09-07,14
FEFE,"['6ix9ine', 'Nicki Minaj', 'Murda Beatz']",2018-11-27,9
Tequila,['Dan + Shay'],2018-01-10,73
Feel It Still,['Portugal. The Man'],2017-06-16,80
MotorSport,"['Migos', 'Nicki Minaj', 'Cardi B']",2018-01-26,75
I Like Me Better,['Lauv'],2017-05-19,70
Youngblood,['5 Seconds of Summer'],2018-04-12,76
Whatever It Takes,['Imagine Dragons'],2017-06-23,81
Ric Flair Drip (& Metro Boomin),"['Offset', 'Metro Boomin']",2017-10-30,81
I Fall Apart,['Post Malone'],2016-12-09,84
Pray For Me (with Kendrick Lamar),"['The Weeknd', 'Kendrick Lamar']",2018-02-09,76
Back To You,['Selena Gomez'],2018-05-18,73
SICKO MODE,['Travis Scott'],2018-08-03,86
Walk It Talk It,"['Migos', 'Drake']",2018-01-26,78
Gucci Gang,['Lil Pump'],2017-10-06,73
Him & I (with Halsey),"['G-Eazy', 'Halsey']",2017-12-15,76
In My Blood,['Shawn Mendes'],2018-05-25,81
All The Stars (with SZA),"['Kendrick Lamar', 'SZA']",2018-02-09,79
Stir Fry,['Migos'],2018-01-26,74
Too Good At Goodbyes,['Sam Smith'],2017-11-03,76
LOVE. FEAT. ZACARI.,"['Kendrick Lamar', 'Zacari']",2017-04-14,80
This Is America,['Childish Gambino'],2018-05-06,75
Nonstop,['Drake'],2018-06-29,82
Heaven,['Kane Brown'],2017-10-06,78
Bodak Yellow,['Cardi B'],2018-04-06,75
Freaky Friday (feat. Chris Brown),"['Lil Dicky', 'Chris Brown']",2018-03-15,76
GUMMO,['6ix9ine'],2018-04-10,70
Plug Walk,['Rich The Kid'],2018-03-30,76
Wait,['Maroon 5'],2018-06-15,63
Be Careful,['Cardi B'],2018-04-06,70
Wolves,"['Selena Gomez', 'Marshmello']",2017-10-25,80
Bartier Cardi (feat. 21 Savage),"['Cardi B', '21 Savage']",2018-04-06,69
God is a woman,['Ariana Grande'],2018-08-17,80
"BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","['YG', '2 Chainz', 'Big Sean', 'Nicki Minaj']",2018-08-03,73
